id,owner_id,title,status,seo_url,submitdate,preview_description,type,bidperiod,time_submitted,time_updated,language,frontend_project_status,time_free_bids_expire,pool_ids,enterprise_ids,enterprises,group_ids,currency_id,currency_code,currency_sign,currency_name,currency_exchange_rate,currency_country,currency_is_escrowcom_supported,budget_minimum,budget_maximum,hourly_project_info_commitment_hours,hourly_project_info_commitment_interval,hourly_project_info_duration_enum,bid_stats_bid_count,bid_stats_bid_avg
37860894,74842457,Python Developer for Email Automation,active,python/Python-Developer-for-Email-Automation-37860894,1710053593,I'm seeking a skilled Python developer to automate repetitive tasks tailored specifically to email a,hourly,490,1710053593,1710053593,en,open,1710049987,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,15.0,25.0,40.0,week,unspecified,33,18.803030303030305
37860729,75018034,Data Analysis Expert Wanted,active,data-mining/Data-Analysis-Expert-Wanted,1710049517,I’m seeking an experienced coder for an exciting data analysis project. I haven't specified the prog,fixed,7,1710049517,1710049517,en,open,1710045011,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,10.0,30.0,,,,10,81.6
37860647,51045059,Python Developer for Diverse Tasks,active,python/Python-Developer-for-Diverse-Tasks,1710045414,I shifted my server I want Python Developer to publish my code at my new server  - task will be remo,fixed,7,1710045414,1710045414,en,open,1710041814,['freelancer'],[],[],[],3,AUD,$,Australian Dollar,0.664386,AU,True,10.0,30.0,,,,24,50.833333333333336
37860607,17778759,Divi Website Development and Design Consultancy,active,wordpress/Divi-Website-Development-Design,1710043773,"I need a WordPress website built, preferably with Divi.The website is for a new business that manufa",fixed,7,1710043773,1710043773,en,open,1710040173,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,250.0,750.0,,,,91,468.46153846153845
37859106,18927833,Making changes to an existing Usenet Search Engine Website (NNTP) -- 2,active,php/Making-changes-existing-Usenet-Search-37859106,1709998895,"Please read completely before placing a bid !
Please bid only if you also plan to respond...
Please ",fixed,7,1709998895,1710042488,en,open,1710004895,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,10.0,30.0,,,,14,36.07142857142857
37860565,71878526,BLE Beacon Indoor Navigation Specialist,active,python/BLE-Beacon-Indoor-Navigation-Specialist,1710042289,"I'm in need of a seasoned expert in indoor positioning technology, specifically one with high-level ",fixed,7,1710042289,1710042289,en,open,1710048289,['freelancer'],[],[],[],6,SGD,$,Singapore Dollar,0.749963,SG,False,750.0,1500.0,,,,36,1142.1944444444443
37860466,42964116,Ladder Language IDE for programming and debugging  for STM32MCU,active,c-programming/Ladder-Language-IDE-for-programming,1710039158,"I'm searching for an experienced developer experienced in software and embedded systems.

This proje",fixed,7,1710039158,1710039158,en,open,1710035558,['freelancer'],[],[],[],11,INR,₹,Indian Rupee,0.012084,IN,False,150000.0,250000.0,,,,3,170000.0
37860309,3813525,Skilled Python Developer for User Management,active,python/Skilled-Python-Developer-for-User,1710032975,"I would like a ""reasonable"" (video verified) by the hour price also. long time work.  I will assist.",fixed,7,1710032975,1710032975,en,open,1710029375,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,250.0,750.0,,,,69,496.10130434782616
37860303,75015127,"Full Stack Engineer, Multilingual",active,python/Full-Stack-Engineer-Multilingual,1710032822,"As your ideal freelancer, I am seeking a Full Stack Engineer skilled in an array of languages to bui",fixed,7,1710032822,1710032822,en,open,1710039858,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,3000.0,5000.0,,,,30,4206.333333333333
37860033,18356401,Development of a dashboard of real estate price alanysis,active,python/Development-dashboard-real-estate-price,1710023085,We are seeking an experienced freelance developer to create a custom dashboard for analyzing real es,fixed,7,1710023085,1710023085,en,open,1710019485,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,30.0,250.0,,,,29,165.82758620689654
