id,title,seo_url,submitdate,budget_minimum,budget_maximum,currency_code,currency_exchange_rate,bid_stats_bid_count,bid_stats_bid_avg,budget_maximum_usd,budget_minimum_usd,description
37865617,Implement GNNs with PyTorch,python/Implement-GNNs-with-PyTorch,2024-03-11 13:42:41,10.0,80.0,AUD,0.660722,7,62.142857142857146,52.85776,6.60722,"I’m seeking a Python expert with substantial experience in applying Graph Neural Networks (GNNs) using PyTorch. Though I've left the purpose open, please be prepared for potential tasks such as node classification, link prediction or graph level representation learning. 

Key skills required:

- Extensive understanding and practical experience in GNNs
- Proficient with PyTorch
- Ability to complete work as quickly as possible
 
The target completion date for this project is ASAP. Looking forward to seeing your proposal."
37865515,Python Code Explanation - Data Analysis,mathematics/Python-Code-Explanation-Data-Analysis,2024-03-11 13:11:09,250.0,750.0,AUD,0.660722,25,489.2,495.54150000000004,165.1805,"I require a professional with a solid understanding of Python, particularly at an intermediate level, to thoroughly explain an existing Python code to me. The code under scrutiny is primarily used for data analysis purposes, and so an expert in this area would undoubtedly be suitable for the task.

Key Requirements:
- Mastery in Python, especially in the field of data analysis (MATPLOT, SCIPY, NUMPY, Tkinter mainly).
- Exceptional communication skills in order to successfully explain the code.
- Ability to dissect complex Python codes into comprehensible sections and explain them.

The ideal candidate should have a knack for making complex terminologies and codes easy to understand. Demonstrated previous experience in tutorials or as a Python instructor would certainly give added value to your bid."
37865428,Python developer and Data Scientist for making  a Interview Scheduling System  -- 2,python/Python-developer-Data-Scientist-for,2024-03-11 12:38:02,10.0,30.0,USD,1.0,3,45.0,30.0,10.0,"I require a skilled data analyst with proficiency in Python, tasked with creating an interview scheduling system for bus lane interviews. The scope of the job includes:

- Data cleaning and preprocessing of the information involved in the project.
- Analysis of relevant data using python
- Integrating interviewer details, interview time-slots, and each corresponding bus lane location into the scheduling system.

The ideal candidate should have thorough experience in Python-based data analysis, and is able to construct intuitive organizational systems. A background in scheduling and data organization is an advantage. Please, only apply if you can demonstrate similar past projects or pertinent skills.

You have to make a program which will give output as shown in sample sheet, the output should follow all of the constraints
This project has many sheets and should be done asap , please read the given sheets and then send proposal if you can do it"
37865305,Monday.com App or API Development,monday-com/Monday-com-App-API-Development,2024-03-11 11:57:24,30.0,250.0,EUR,1.09276,50,170.88,273.19,32.7828,"We are looking for someone to help us implement some features for Monday.com. On monday it is possible to add functionality either by connecting to their API or by creating an app in javascript to integrate to Monday using their SDK. We would only need one of the two methods, in case a backend is created that communicates via API we would like to use python.

On Monday we are currently creating boards that we call masters in which we enter all the data. We want that when an item is created in this board it will also be created in an other daughter boards. What we have been able to do with what monday gives us is an automation that when an item is created in the master board it is also created in the daughter boards. In addition, the data in the daughter boards are linked to the master one via mirror type columns, so that we have the updated data in all the boards. However, there are some features missing in this connection.

The functions we need are:
- automatically create subitems in a daughter board. This functionality exists for items but is not available for subitems
- create mirror columns to subitems. Currently it is only possible to link mirror columns to items and not to subitems, we need this so that we can update subitems from one place so that they are synchronized. In case it is not possible to change the column type we can use a support board for this function, where we create all the items that will become subitems in the master board, so we can link them with the mirror column.
- Move the created item into a group. At the moment when an item is automatically created in the child board it is placed in the first group of the board, we would like it instead to be placed in a group with the same name as the status assigned to it


Requirements
- Punctuality in delivery
- Good communication
- Participation in the project by proposing solutions or new ideas


Main Technical Requirements
- knowledge of Monday.com
- React (if only app)
- Python (if only backend)"
37865183,Niagara Framework Application Developer,javascript/Niagara-Framework-Application-Developer,2024-03-11 11:28:36,750.0,1250.0,INR,0.012084,6,975.0,15.104999999999999,9.062999999999999,"I'm in need of an expert in the Niagara Framework. The task here is to create a brand new application, one that needs your competency in Java, Python, and JavaScript, as well as your proficiency and practical knowledge of Niagara. Your previous experience developing with Niagara Framework will be a key highlight. In summary:


- You must have familiarity with Java, Python, and JavaScript

- Prior work with the Niagara Framework is necessary

- The task is to create a new application from scratch. 

Your creativity, understanding of user experience, and technical expertise will be the driving force behind this project. Let's build something extraordinary together."
37865134,Python Script for Advanced HTML Parsing,aws-lambda/Python-Script-for-Advanced-HTML,2024-03-11 11:08:41,15.0,25.0,USD,1.0,62,20.120967741935484,25.0,15.0,"I am looking for an experienced Python developer with knowledge in DevOps, S3, SQL and AWS Lambda. The main task will be developing a script for parsing HTML and perform the following tasks:

- Extract specific data points such as text contents, meta tags, and hyperlinks
- Clean and format the extracted data
- Store the cleaned and formatted data in a database

Prior experience in dealing with HTML parsing using Python is a must. Also, knowledge of SQL for database management and AWS Lambda for automating the parsing process would be highly beneficial.

Thanks!"
37865058,Comprehensive Email Scraping Service,python/Comprehensive-Email-Scraping-Service,2024-03-11 10:47:09,10.0,20.0,GBP,1.280893,4,15.75,25.61786,12.80893,"I am looking to develop a versatile tool capable of scraping both personal and business email addresses. The ideal freelancer for this project would understand how to scrap not only from social networking sites but also online directories. It won’t be a simple collecting job, as the tool should be able to apply specific industry-based filter options to the scraped email addresses. Key skills needed for this project consist of web scraping, data mining, Python, and understanding of various web platforms' structures. Familiarity with different sectors and industry types would be a plus. Make sure you are aware of privacy regulations for such task."
37865042,Python developer and Data Scientist for making  a Interview Scheduling System ,python/Data-Analyst-For-Interview-Scheduling,2024-03-11 10:42:07,600.0,1500.0,INR,0.012084,3,1218.3333333333333,18.125999999999998,7.2504,"I require a skilled data analyst with proficiency in Python, tasked with creating an interview scheduling system for bus lane interviews. The scope of the job includes:

- Data cleaning and preprocessing of the information involved in the project.
- Analysis of relevant data using python
- Integrating interviewer details, interview time-slots, and each corresponding bus lane location into the scheduling system.

The ideal candidate should have thorough experience in Python-based data analysis, and is able to construct intuitive organizational systems. A background in scheduling and data organization is an advantage. Please, only apply if you can demonstrate similar past projects or pertinent skills.

You have to make a program which will give output as shown in sample sheet, the output should follow all of the constraints
This project has many sheets and should be done asap , please read the given sheets and then send proposal if you can do it"
37865039,Profitable AI-Powered Fully Automated Trading and Arbitrage Bot with minimal manual intervention,python/Profitable-Powered-Fully-Automated,2024-03-11 10:41:36,750.0,1500.0,USD,1.0,14,2047.142857142857,1500.0,750.0,"I'm seeking a highly skilled developer to create an AI-powered automated trading and arbitrage bot that operates across all major centralized exchanges (CEXs) and decentralized exchanges (DEXs), with a focus on Binance, Coinbase, and all other CEXs. My goal is to implement this tool with minimal ongoing input from my side, leveraging AI to make informed trading decisions based on market data and trends. Since I do not have specific trading strategies in mind yet, I am open to, and in need of, expert suggestions to maximize profits through effective and efficient trading tactics.

**Some Key Requirements (not fully detailled):**
- Strong programming skills, particularly in languages such as Python, Java, C#, especially in writing efficient, clean, and maintainable code.
- Integration with all major CEXs and DEXs (specifically Binance, etc.)
- AI-driven trade decision-making
- Minimal manual intervention needed; high level of automation
- Development and integration of profitable trading strategies
- Financial Analysis: Ability to implement trading strategies that require comprehensive financial analysis and adaptability to the highly volatile crypto market.
Experience in artificial intelligence and machine learning to enable the bot to make intelligent trading decisions based on market analysis and trend predictions.
- User-friendly interface for occasional strategy adjustments or reviews

**Some Ideal Skills and Experience (not fully detailled):**
- Proficiency in AI/ML for trading bots
- Strong understanding of cryptocurrency markets and arbitrage opportunities
- Experience with API integration for various cryptocurrency exchanges
- Knowledge in developing and testing trading strategies
- Ability to create a user-friendly interface for non-technical users
- Experience in spot and futures trading.
- Creation of a detailed control panel displaying analytical data.
- Data analysis and big data processing skills.

**Some Objectives (not fully detailled):**
- Maximize profit through effective arbitrage across multiple platforms
- Ensure the bot is adaptable to changing market conditions and can update strategies accordingly with minimal user input
- Develop a secure, reliable, and efficient bot that requires minimal maintenance
- Verification of the bot's successful operation on demo and real accounts.

I am looking forward to working with someone who is enthusiastic about creating cutting-edge trading technologies. Your expertise in AI, cryptocurrency, and trading bot development will be crucial to the success of this project. I will share with you all my expectations. Feel free to contact me. Thank you."
37864940,Python Programming Project for MCS Students,c-programming/Python-Programming-Project-for-MCS,2024-03-11 10:28:26,750.0,1250.0,INR,0.012084,19,1015.7963157894735,15.104999999999999,9.062999999999999,"As a MCS student, I'm looking for a proficient and experienced Python programmer to help me complete a Computer Science project. 

- You should be well versed with the fundamentals and advanced concepts of Python language.
- The project primarily focuses on problem-solving and coding solutions.
- Having a Computer Science background will be beneficial in better understanding and execution of the project.
- This will not just be a programming project, but a learning experience to promote skills and knowledge.
  
Previous experience in academic projects in Python is an added advantage."
37864870,Python-Based Minimum Spanning Tree in Stress Testing in Risk Management,python/Python-Based-Minimum-Spanning-Tree,2024-03-11 09:58:56,600.0,15000.0,INR,0.012084,12,8631.583333333334,181.26,7.2504,"As an active member of the risk management sector, I am in need of a dedicated individual who can efficiently implement a minimum spanning tree algorithm in Python for stress testing. This project has a direct correlation with financial data, where scenario analysis is a critical requirement. 

Key tasks:

- Development of a robust Python-based solution for testing financial stress
- Implementation of scenario analysis using minimum spanning tree algorithms 

Ideal Candidate:

- Strong programming skills in Python 
- Experience with algorithms, specifically minimum spanning tree
- Exceptional understanding of financial data processing 
- Knowledge in risk management and stress testing methodologies, specifically scenario analysis 

In conclusion, I am hoping to collaborate with a seasoned Python developer with rich experience in computational algorithms and a solid understanding of the risk management domain, to effectively implement this system. A knack for financial data analysis would also favor your bid."
37864855,PowerBI Interface for Manual Numerical/text Data Entry,excel/PowerBI-Interface-for-Manual-Numerical,2024-03-11 09:53:56,1500.0,12500.0,INR,0.012084,9,6796.666666666667,151.04999999999998,18.125999999999998,"I'm seeking a professional who can script a user-friendly interface in PowerBI for my team to manually enter numerical data/ text directly without the need for excel. The main task will be to design and implement a data entry system suitable for a non-technical team. Key responsibilities include:

- Setting up this custom data entry system within PowerBI
- Ensuring the system allows for manual input of numerical data which is then stored in sharepoint excel
- Verifying the accuracy and consistency of the data entered

The ideal candidate for this project will have:

- Significant experience with PowerBI, Python, and data visualization
- Understanding of data management and integrity checks
- Proven track record of creating custom data entry forms in PowerBI 

Expertise in an environment where non-technical personnel handle data will be highly regarded. The end goal is to have a system where my team can input costs directly into PowerBI, thus increasing efficiency and data consistency for our business operations."
37864773,Python-Based User Data Organization System,python/Python-Based-User-Data-Organization,2024-03-11 09:31:50,8.0,30.0,EUR,1.09276,17,28.58823529411765,32.7828,8.74208,"I'm in need of a proficient Python developer, ideally with mid-level experience, to conceive, develop, and implement an efficient, reliable database system. The primary purpose of this system will be to store and organize user data effectively. 

I would like create a ddbb of clients (personal info), contracts (length, contract code, price) and payments (monthly, extra, punctual, deductions, etc). Payment would be calculated through fixed info and through input info.
I would need to feed this ddbb every week, and would need to have a clear control panel.

Key responsibilities will include:
- Designing and creating a scalable database architecture
- Ensuring secure and reliable data storage
- Crafting logical and physical data models 

The ideal freelancer for this project should have:
- Strong skills in Python programming
- Proficiency in Database Management
- Experience in managing and organizing user data
- Understanding of Data Security and Protection
- Good problem-solving skills and attention to detail. 

This is a great opportunity to showcase your Python and data organization skills and make a direct impact on our operations. I look forward to collaborating with you on this important project."
37864756,[One Time Project] Golang Migration for Python Project,python/One-Time-Project-Golang-Migration,2024-03-11 09:28:33,250.0,750.0,SGD,0.751634,27,561.3703703703703,563.7255,187.9085,"As an up-and-coming business, we're on the lookout for a proficient Golang engineer with experience in migrating Python Django projects. The task at hand is simple yet crucial to our operations. 

Key Responsibilities:
- Understand python language, strong skills in Golang 
- Understand mime protocol
- Migrate Existing Django+Celery project into Golang language

Project Specifics:
The project is small and relatively uncomplicated, primarily involving the transformation of our current Python project to Golang. 

Feature Retention:
Hosting webServer to provide Http Json APIs for user to fetch, send, reply, forward, search Email (Including attachments)

Please reach out to me with your sample Golang code.

Candidates with a similar project portfolio and a demonstrated understanding of user interface considerations will be highly favoured in the selection process."
37864712,AI Python ,machine-learning/Python,2024-03-11 09:15:55,18.0,36.0,EUR,1.09276,66,26.406060606060606,39.33936,19.66968,"I am looking for a skilled developer with an expertise in AI, specifically in Machine Learning and Image Recognition for an Image Search project. 
MUST MUST SHOW EXAMPLES OF WORK IN PYTHON - FIREBASE AND NODE JS. DO NOT PLEASE RESPOND IF YOU DO NOT HAVE ALL 3 SKILLS SETS AND CAN PROVE IT PLEASE. THANKS 

Key Requirements:

Hi we need skill sets in Node JS - Firebase and Python  to work on our team to complete our image generator - it is already working on our site an we need to intergrate it to our new site so most of our hard work has been done, now we need a Dev for one day's work under the supervision of our CTO. 

If you have the skills and experience listed above, I look forward to seeing your bid."
37864353,Troubleshoot AI generated code for apps,python/Troubleshoot-generated-code-for-apps,2024-03-11 07:35:26,1500.0,12500.0,INR,0.012084,7,8405.714285714286,151.04999999999998,18.125999999999998,"Looking for a blockchain and Python expect (or other languages) that will look at our prompts and code generated by ChatGPT and other AI, and fix errors to get usable apps and bots.

With your bid please specify:
1. How many apps using AI generated code (ChatGpt or other) have you created?
2. Have your created UI code for it as well with AI?
3. Please show at least 5 apps like this
4. How long in average did it take you to create each?
5. How long will it take for you to fix our AI generated prompts and codes for 50 apps?"
37864349,MusicVibration code for iOS& Android app,python/MusicVibration-code-for-iOS-Android,2024-03-11 07:34:10,12500.0,37500.0,INR,0.012084,13,32510.76923076923,453.15,151.04999999999998,"We need is an app code for iOS and Android in FLUTTER and LAVAVEL for already existing app (android Google and iOS Apple) 

The needed effect is to make the smartphone emitting music and music vibrations being generated from online downloaded music and mp3 music of the own library.The effect of the music vibration should be a haptic sensation by holding the phone in the palm, like putting hands on a speaker. 

Pls. take in consideration that it is not the normal vibration like in timer but it has to be generated by the heard music (music vibration). 

The user should be able to have his own library and history of his music.

Send me a written message if you understand what I mean and how you intend to find a solution. 

Knowledge of Flutter,Lavavel,Python

Mac iOS device"
37864228,"Python & C Programming, Typing Assistance",data-entry/Python-Programming-Typing-Assistance,2024-03-11 07:03:05,750.0,1250.0,INR,0.012084,36,949.6527777777778,15.104999999999999,9.062999999999999,"I am currently seeking a professional who can assist me with typing, Python programming, and C programming for academic assignments. These are entry-level tasks, so an understanding of basic programming concepts is crucial, but you won't have to dive too deep into complex coding issues. 

Skills and Experience:
- Proficiency in Python and C Programming
- Efficient typing skills
- Experience with academic projects

Your role will include:
1. Python and C programming:
   - The ability to interpret academic project requirements.
   - Programming solutions according to guidelines.

2. Typing assistance:
   - Efficient data entry and transcription for written academic materials."
37864197,Python and Django Framework Specialist Needed,python/Python-Django-Framework-Specialist,2024-03-11 06:54:13,600.0,1500.0,INR,0.012084,12,2361.6666666666665,18.125999999999998,7.2504,"There is an Open Source Project . https://github.com/mandiant/flare-floss. There is an issue https://github.com/mandiant/flare-floss/issues/693 .
I want a a person proficient in Python and Django to resolve the issue as fast as he can."
37864139,"I need a Machine Learning and Python dev
",python/need-Machine-Learning-Python-dev,2024-03-11 06:36:27,1500.0,12500.0,INR,0.012084,19,6793.421052631579,151.04999999999998,18.125999999999998,"I need a skilled machine learning and python developer.

I will give my details via chat more detail.

Thanks"
37864083,Python Expert for Face Recognition Project,python/Python-Expert-for-Face-Recognition-37864083,2024-03-11 06:20:41,1500.0,12500.0,INR,0.012084,19,7552.631578947368,151.04999999999998,18.125999999999998,"As part of my M.Tech project, I require a skilled Python developer proficient in image processing and object detection specifically. Your primary focus will be on face recognition in images. 
- Ideally, you'll possess experience in Machine Learning, Data Analysis, and Web Development.
- Your task will be concentrated on coding for face detection in images.
A robust knowledge of image segmentation will be beneficial. With your help, I'm aiming at accomplishing a successful image processing project."
37864010,Versatile Software Developer Needed,cplusplus-programming/Versatile-Software-Developer-Needed,2024-03-11 05:51:23,10.0,30.0,USD,1.0,7,22.142857142857142,30.0,10.0,"I'm in search of a proficient and adaptable software developer who can handle a variety of programming languages. Even though I've skipped those details, your ability to work with Java, Python, C# or others will be an asset.

Key Responsibilities:
- Develop and implement new software programs
- Maintaining and improving the performance of existing software

Skills & Experience:
- Demonstrated experience with a wide range of programming languages
- High degree of independent judgment 
- Able to solve complex problems

Application:
Kindly provide a detailed project proposal showcasing your comprehensive understanding of diverse programming languages. An understanding of the project's reach and the potential challenges that might come up would be greatly appreciated. This project could range from a CRM Software to Accounting or MIS- your versatility will be your strength. Your bid should demonstrate your wide skill set and provide confidence in your ability to tackle this undetermined project."
37863993,eCommerce Site Frontend Development,html/eCommerce-Site-Frontend-Development,2024-03-11 05:47:21,1500.0,12500.0,INR,0.012084,58,9934.0,151.04999999999998,18.125999999999998,"I am in need of an adept frontend developer specializing in HTML/CSS to undertake the creation of the frontend for my e-commerce site. Key objectives include, but are not limited to:

- Developing an appealing visual layout
- Ensuring user-friendly interface for customers
- Integrating comprehensive shopping cart functionality

Ideal candidate should have profound HTML/CSS knowledge alongside good understanding of eCommerce website best practices. Proficiency with JavaScript or Python will be a bonus. A proven track record of similar projects is required. Be prepared to show portfolio pieces that demonstrate your aptitude in these areas. The design should be modern and sharp, with a seamless shopping cart integration. Your attention to detail and ability to align with my vision will drive the success of this project."
