Title,URL,Categories,Skills,Excerpt
Landsat Reflectance Data: On the Fly and at Your Fingertips,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/landsat-reflectance-data-on-the-fly-and-at-your-fingertips/,"Intermediate, Advanced","Earth, Software","Landsat missions have provided the longest continuous dataset of remotely sensed measurements of Earth’s land surface. Comparing ground-based spectral measurements with Landsat Surface Reflectance (SR) data collected at the same time can facilitate experiential learning, encourage scientific exploration with satellite data, foster interdisciplinary and spatial thinking skills, and empower individuals to become informed global citizens. But to compare ground-based measurements with Landsat data, you need to know when Landsat will be passing over a specific land area, and then be able to access the Landsat data collected at that place and time.  Your challenge is to develop a web-based application that supports the comparison of ground-based observations with Landsat data by allowing users to define a target location, receive notifications when Landsat is to pass over that location, and then access and display the corresponding Landsat SR data."
Leveraging Earth Observation Data for Informed Agricultural Decision-Making,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/leveraging-earth-observation-data-for-informed-agricultural-decision-making/,"Intermediate, Advanced","Climate, Diversity & Equity, Earth, Hardware, Software","Farmers face a deluge of water-related challenges due to unpredictable weather, pests, and diseases. These factors can significantly impact crop health, farmers’ profits, and food security. Depending upon the geography, many farmers may face droughts or floods—sometimes both of these extreme events occur within the same season! Your challenge is to design a tool that empowers farmers to easily explore, analyze, and utilize NASA datasets to address these water-related concerns and improve their farming practices."
Navigator for the Habitable Worlds Observatory (HWO): Mapping the Characterizable Exoplanets in our Galaxy,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/navigator-for-the-habitable-worlds-observatory-hwo-mapping-the-characterizable-exoplanets-in-our-galaxy/,"Intermediate, Advanced","Astrophysics, Planets & Moons, Software, Space Exploration",Which exoplanets will be observable with the future Habitable Worlds Observatory (HWO)? One way of determining the most interesting exoplanetary targets for HWO would be to visualize which of the currently known exoplanets HWO could potentially observe. Your challenge is to develop an app that enables users to visualize the observational paths across our galaxy to the known exoplanets in the solar neighborhood as a function of their potential for characterization by HWO.
PACE in the Classroom,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/pace-in-the-classroom/,"Beginner/Youth, Intermediate, Advanced","Arts, Climate, Earth, Games","The Plankton Aerosol Cloud ocean Ecosystem (PACE) satellite launched and has begun returning data about Earth’s oceans and atmosphere. NASA’s open science policy allows for all the PACE data to be accessed by the public, but it can be difficult to understand if you are not already familiar with these types of data. Your challenge is to create a digestible set of materials that can be used in classrooms across the world to help students understand the data and information that PACE is gathering, and improve ocean literacy worldwide."
SDGs in the Classroom,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/sdgs-in-the-classroom/,"Beginner/Youth, Intermediate, Advanced","Arts, Climate, Diversity & Equity, Earth, Games, Software","In 2015, the United Nations created the 2030 Sustainable Development Goals (SDG) Agenda—a set of 17 goals focused on addressing global concerns such as climate change, global poverty, pollution, inequality, and many more. As we embark on the halfway point of the SDG Agenda, we aim to find new ways to engage youth with the tools available to advance these goals and measure our progress in achieving them. Your challenge is to develop a lesson plan that educates high school students about an SDG, and can be integrated into a science unit that may already be part of the curriculum (e.g., a unit on weather, geology, soil health, etc.)."
Seismic Detection Across the Solar System,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/seismic-detection-across-the-solar-system/,Advanced,Planets & Moons,"Planetary seismology missions struggle with the power requirements necessary to send continuous seismic data back to Earth. But only a fraction of this data is scientifically useful! Instead of sending back all the data collected, what if we could program a lander to distinguish signals from noise, and send back only the data we care about? Your challenge is to write a computer program to analyze real data from the Apollo missions and the Mars InSight Lander to identify seismic quakes within the noise!"
Show Us What the May 2024 Geomagnetic Storms Looked Like,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/show-us-what-the-may-2024-geomagnetic-storms-looked-like/,"Beginner/Youth, Intermediate, Advanced","Arts, Diversity & Equity, Earth, Planets & Moons, Sun","The Sun is highly variable and cycles through periods when its magnetic activity is very high, and times when there is very low or almost no magnetic activity.  This year the Sun was very active! In May 2024 multiple large solar flares created space weather that affected Earth in a variety of ways. Your challenge is to use NASA data to create a visual representation (e.g., a movie, video of a dance, etc.) that helps the public better understand the May 2024 solar storms and their impacts."
Symphony of the Stars: Harmonizing the James Webb Space Telescope in Music and Images,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/symphony-of-the-stars-harmonizing-the-james-webb-space-telescope-in-music-and-images/,"Beginner/Youth, Intermediate, Advanced","Arts, Astrophysics, Diversity & Equity, Software","The James Webb Space Telescope (JWST), with its unprecedented capabilities, is designed to explore some of the most profound topics in astronomy—from the birth of stars and galaxies to the search for signs of life beyond our solar system. Its findings are likely to reshape our understanding of the universe, sparking curiosity and wonder. Your challenge is to capture the spirit of this remarkable mission by creating a collage that merges stunning JWST visuals with a compelling musical backdrop, encapsulating the sense of discovery and cosmic awe that the telescope inspires in a way that appeals to people of all ages."
Tell Us a Climate Story!,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/tell-us-a-climate-story/,"Beginner/Youth, Intermediate, Advanced","Arts, Climate, Diversity & Equity, Earth, Software","Over the last several decades, a huge amount of climate data from numerous sources has been collected. This data is freely available to the public, but making sense of this vast amount of data is not easy! Your challenge is to use the open-source data on the U.S. Greenhouse Gas Center website to tell a compelling story about climate change."
Uncover the Role of Greenhouse Gases in Your Neighborhood!,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/uncover-the-role-of-greenhouse-gases-in-your-neighborhood/,"Intermediate, Advanced","Climate, Diversity & Equity, Earth, Software","Human-caused (anthropogenic) greenhouse gas emissions and natural systems that produce and absorb greenhouse gases (sources and sinks) interplay in a complicated manner to contribute to global climate change. As policymakers and citizens race to combat climate change, understanding this interplay is more important than ever. Your challenge is to use a combination of satellite and model-based datasets to map both human-caused and natural greenhouse gas emissions to enable better understanding of how these emissions contribute to a warmer world."
Visualize Space Science,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/visualize-space-science/,"Intermediate, Advanced","Software, Space Exploration","Biological experiments performed in space are critical to scientific discovery efforts, but they are complex to execute and difficult to conceptualize. For example, these experiments must be loaded into rockets, launched, performed using specialized hardware, and (oftentimes) returned to Earth for analysis. This complexity is a barrier to the broad utilization of this data. Your challenge is to create a tool that can generate informative and compelling visualizations of biological experiments performed in space."
