,,Summary,Challenge,Goals,Solution
11, Problem statement shared by RateGain,"Hotels often struggle to maintain high occupancy rates, especially during seasonal low periods when bookings decline. Maximizing room occupancy is crucial for sustaining revenue and operational efficiency. However, the current approach to driving occupancy relies heavily on manual processes, where Hotel Revenue Managers, Sales & Marketing teams, and General Managers (other external agencies on their behalf) must analyze data, determine the optimal timing for campaigns, and create targeted marketing content.","The manual nature of these tasks results in inefficiencies, missed opportunities, and delayed campaign launches. Moreover, creating and deploying the right content to the right audience at the right time is critical but challenging, especially without the aid of automation. To remain competitive, hotels need a streamlined, automated solution that can dynamically trigger campaigns, optimize their timing, and tailor the content based on real-time data.","How might we develop an automated solution that enables hotels to trigger marketing campaigns at the optimal time during low booking periods and generate customized content that targets the right audience with the appropriHow might we develop an automated solution that enables hotels to trigger marketing campaigns at the optimal time during low booking periods and generate customized content that targets the right audience with the appropriate offers? This solution should empower Hotel Revenue Managers, Sales & Marketing teams, and General Managers to maximize occupancy with minimal manual intervention.

Participants in this hackathon are tasked with creating innovative, automated solutions that address the challenge of optimizing campaign timing and content creation, ultimately driving higher occupancy rates during low periods.ate offers? This solution should empower Hotel Revenue Managers, Sales & Marketing teams, and General Managers to maximize occupancy with minimal manual intervention.",
12, Problem statement shared by Croma,"Transforming Retail Inside and Out - for a multi-brand electronics and appliances retailer

Today most retailers are tackling issues at multiple fronts in trying to keep up with customer expectations while optimizing their internal operations. There is also an increasing level of complexity in operations as retailers become omnichannel. For an electronics and appliances retailer, further complexity is added as products can be high involvement, high value and/or bulky. How can we leverage technology to ensure a seamless customer experience across the customer’s end-to-end journey, while optimizing key internal operations?","Develop innovative and effective solutions that can address the following:

Reimagine network planning: Identify the right geographies and site locations for new stores to optimize network costs while maximizing business opportunity
Deeper demand forecasting: Leverage data (both internal and external) and analytics to build accurate views of demand at a region x product category x brand level. With an intent to minimize inventory holding while meeting customer demand in the right place at the right time
Seamless customer experience: Build a personalized experience for customers across their journey: relevance of marketing communications, helpful purchasing experience, reliable delivery and installation, best in class service and repairs and sustainable product end-of-life managementDevelop innovative and effective solutions that can address the following:",Transform electronics retail for both customers and the retailer – provide a best in class experience in a manner that is sustainable for the business in the long term.,
13, Problem statement shared by Network18,"The digital age has made it easier than ever for misinformation, untruths, and fake news to spread rapidly, especially through video content. For all publishers, including social media platforms, this poses a significant challenge to maintain trust and credibility.","Develop a solution that enhances the trustworthiness of video content by:

Establishing and Maintaining Credentials: Create a system that verifies and tracks the credentials of content creators and sources within the video supply chain.
Ensuring Attribution: Implement a mechanism to easily establish the original source and attribution of video content.
Detecting Tampering: Develop a method to identify if video content has been altered or manipulated in any way.","Focus on video content, as it is heavily consumed and a primary medium for spreading misinformation.",
14, Problem statement shared by Sarvam AI,"Design a course creation copilot, to help instructors with designing new online courses. Should have copilots for translating course content into Indian languages, adding images, animations, voiceovers, and lecture notes.",,,"The idea is to reduce the time it takes for anyone to create an online course, while delivering production-grade course quality. Can be deployed as a Chrome extension, Webapp or Smartphone app. Participants are encouraged to use Gemini and Sarvam APIs (ASR, Translation, TTS, Audio LM) to build this solution. Please also write under the problem statement: Participants can apply for access to Sarvam APIs here."
15, Problem statement shared by Jio Finance Limited,"Revolutionize SDLC with GenAI-Powered Development Platform

Problem Statement:
The traditional software development life cycle (SDLC) is often a long, complex process involving multiple stages and teams. This challenge seeks to leverage the power of GenAI and Low-Code-No-Code (LCNC) platforms to streamline SDLC and accelerate product development.","Develop a GenAI-powered development platform that can directly translate product requirements into functional code, automating much of the development process.","LCNC Platforms: The rise of LCNC platforms has significantly reduced the need for manual coding. These platforms allow users to visually design applications by dragging and dropping components, with code being generated automatically in the background.
GenAI Code Generation: Generative AI models have demonstrated remarkable capabilities in understanding natural language and generating code snippets across various programming languages and platforms.
By combining these two technologies, we can envision a future where GenAI can directly interpret product requirements, generate the necessary code, connect front-end and back-end components, and even ensure adherence to security standards.","The contestants can select the LCNC and the technology stack [along with the version] which are cloud native.
The LLMs can be trained on this target stack so that the code generated is in line with the version of the tech chosen.
The code generated may be integrated with the CICD pipeline to demonstrate the deployment to UAT environment."
16, Problem Statement from Netcore,"Revolutionizing Marketing Campaigns: A Multi-Agent Gen AI Approach to Personalized Content Creation.

The traditional marketing campaign process often lacks personalization, efficiency, and real-time adaptability, impacting both customer engagement and ROI for businesses. Can a multi-agent Gen AI system be leveraged to create hyper-personalized, data-driven campaigns that anticipate customer preferences, streamline content creation, and adapt to market dynamics?","Develop innovative solutions that address the following: Enhance audience segmentation: Create AI agents that analyze customer data to identify and understand distinct audience segments with specific preferences and behaviors. Generate tailored content: Design AI agents capable of producing personalized creative content that resonates with each identified segment, adhering to brand guidelines. Optimize campaign scheduling and delivery: Develop AI agents that determine the best timing, frequency, and channels for content delivery to maximize engagement and conversions. Adapt in real-time: Create a system that continuously monitors campaign performance and makes data-driven adjustments to improve results.","Create a cutting-edge multi-agent Gen AI system that sets a new standard for personalized, efficient, and high-performing marketing campaigns, with the potential to transform how businesses connect with their audience across various industries.",
17, Problem statement shared by Central Cyber Security Agency,"Develop an AI-driven solution that can autonomously detect, analyze, and respond to cybersecurity threats in real time at end user level.","The solution should leverage machine learning models to detect unusual patterns and anomalies in network traffic, user behavior, or system logs that could lead to a cyber-security incident. The solution should be capable of processing vast amounts of data, identifying unusual patterns or anomalies indicative of potential security breaches, and automating response actions to mitigate threats before they cause significant damage. It should employ advanced machine learning techniques to distinguish between normal and suspicious activities, provide clear explanations for its decisions to maintain transparency and trust, and integrate seamlessly with existing security infrastructures like SIEM systems and firewalls.",,
18, Problem statement shared by Central Cyber Security Agency,Develop an AI based model for analyzing unstructured cybersecurity audit reports and providing chat-based output to decision questions.,"The model should be capable of interpreting and summarizing unstructured audit report content, enabling real-time, chat-based interaction to answer decision-related questions. By leveraging NLP, it must be able to understand and process the reports with the help of machine learning algorithms it must be able to analyse different reports and provide actionable insights for streamlining the decision making process.",,
19, Gemini-powered AI Learning Companion,Develop an AI-powered learning companion that leverages Gemini's advanced language understanding and generation capabilities to create a personalized and engaging learning experience for students across various subjects.,,,"**Evaluation Criteria for student only problem statements: Student only** - 18+ of age and having student ID cards while coming for finals. Students graduating before 30th October, 2024 will not be allowed to participate in this category. - College email id for submissions. - Top 10 teams will be invited for the finale.
Technical Feasibility:
Is the solution technically feasible? Usage of Gemini APIs is mandatory
Are there any major technical challenges solved?

Scalability:

Can the solution be scaled to serve a large number of users?
What are the potential bottlenecks or limitations of the solution?
User Experience:
Is the solution easy to use and understand?
Does the solution provide a positive and engaging user experience?

Winners:
The top 3 teams will get a chance to win goodies and a chance to visit the Google office in Gurgaon"
20, Gemini-Enhanced AI for Mental Health & Emotional Support,Build an AI-powered chatbot or virtual assistant that leverages Gemini's natural language understanding and empathy to provide mental health and emotional support to students.,,,"**Evaluation Criteria for student only problem statements: Student only** - 18+ of age and having student ID cards while coming for finals. Students graduating before 30th October, 2024 will not be allowed to participate in this category. - College email id for submissions. - Top 10 teams will be invited for the finale.
Technical Feasibility:

Is the solution technically feasible? Usage of Gemini APIs is mandatory
Are there any major technical challenges solved?
Scalability:

Can the solution be scaled to serve a large number of users?
What are the potential bottlenecks or limitations of the solution?
User Experience:

Is the solution easy to use and understand?
Does the solution provide a positive and engaging user experience?
Winners:
The top 3 teams will get a chance to win goodies and a chance to visit the Google office in Gurgaon"
